Date,Author,Title (Item),Periodical Title,Language 1,Author Country 1,Author Country 2,Publisher,city,country,Pub Location,Genre,ISBN,Number of Pages,Original Publication Date,Original Pub Language,Original Language Title,Original Language Publisher,Translator Name,Cover Photo URL,Wikipedia URL
1988,"Amis, Martin; Infante, Guillermo Cabrera",La Enfermedad Del Tiempo,,Spanish,England,Cuba,El País,Madrid,Spain,"Madrid, Spain",Fiction (Novel),,16,1988,,,,,https://cloud10.todocoleccion.online/libros-segunda-mano-literatura/tc/2018/08/01/20/129655683.jpg,https://en.wikipedia.org/wiki/Guillermo_Cabrera_Infante
2015,"Anatol, Giselle Liza",The Things That Fly in the Night: Female Vampires in Literature of the Circum-Caribbean and African Diaspora,,English,Trinidad & Tobago,,Rutgers University Press,"New Brunswick, NJ",United States,"New Brunswick, NJ, United States",Nonfiction Book,978-0-8135-6575-0 978-0-8135-6574-3,295,2015,,,,,"https://images-na.ssl-images-amazon.com/images/I/51jeQoEdruL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",NA
2015,"Andwele, Adisa",Painting Poetry: Poetic Interpretations Of Art.,,English,Barbados,,Xlibris,"Bloomington, IN",United States,"Bloomington, IN, United States",Poetry Collection,978-1-5144-2955-6,74,2015,,,,,"https://images-na.ssl-images-amazon.com/images/I/617KBi01X6L._SY498_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Adisa_Andwele
1990,"Andwele, Adisa",Rhythm an' Roots: A Collection Of Poems,,English,Barbados,,NA,Bridgetown,Barbados,"Bridgetown, Barbados",Poetry Collection,9781900715720,73,1989,,,,,NA,https://en.wikipedia.org/wiki/Adisa_Andwele
1989,"Andwele, Adisa",Rhythm an' Roots: A Collection Of Poems,,English,Barbados,,We Culture Publications,Bridgetown,Barbados,"Bridgetown, Barbados",Poetry Collection,9781900715720,73,1989,,,,,NA,https://en.wikipedia.org/wiki/Adisa_Andwele
2003,"Andwele, Adisa",Crop Over,,English,Barbados,,WOW Caribbean,St. Michael,Barbados,"St. Michael, Barbados",Poem,NA,40,2003,,,,,NA,https://en.wikipedia.org/wiki/Adisa_Andwele
2002,"Andwele, Adisa",Antiquity,,English,Barbados,,Peepal Tree Press,Leeds,England,"Leeds, England",Poem,978-1-900715-72-0,91,2002,,,,,https://blackwells.co.uk/jacket/l/9781900715720.jpg,https://en.wikipedia.org/wiki/Adisa_Andwele
1992,"Andwele, Adisa",Black Distant Voice: A Collection of Poems,,English,Barbados,,Black Moss press,Windsor,Canada,"Windsor, Canada",Poetry Collection,978-4875984009,21,1992,,,,,NA,https://en.wikipedia.org/wiki/Adisa_Andwele
1828,Anonymous,"Marly; or, A Planter's Life in Jamaica",,English,NA,,Richard Griffin & Company,Glasgow,Scotland,"Glasgow, Scotland",Fiction (Novel),978-0333974025,378,1828,,,,,https://images-na.ssl-images-amazon.com/images/I/51nCp8Nvu8L.jpg,NA
1996,"Anthoni, Robert; Morrow, Bradford","Conjunctions: 27, The Archipelago",,English,Wales,United States,Bard College,Annandale-on-Hudson,United States,"Annandale-on-Hudson, United States",Nonfiction Book,978-0-941964-43-2,360,1996,,,,,https://tools.bard.edu/wwwmedia/pubs/images/223/27.jpg,https://en.wikipedia.org/wiki/Robert_Antoni; https://en.wikipedia.org/wiki/Bradford_Morrow
1967,"Anthony, Michael",Michael Anthony's Tales for Young and Old,,English,Trinidad & Tobago,,Stockwell,North Devon,England,"North Devon, England",Fiction (Short Story Collection),978-1405028967,184,1967,,,,,https://images-na.ssl-images-amazon.com/images/I/511yNaOqr4L._SX342_SY445_QL70_ML2_.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
2005,"Anthony, Michael",Caribbean Folk Tales & Fantasies,,English,Trinidad & Tobago,,Macmillan Publishers,"New York, NY",United States,"New York, NY, United States",Fiction (Short Story Collection),978-1405028967,104,1976,English,,,,"https://images-na.ssl-images-amazon.com/images/I/51AkkCSMWcL._SX283_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Michael_Anthony_(author)
1996,"Anthony, Michael",In the Heat of the Day,,English,Trinidad & Tobago,,Heinemann,Oxford,England,"Oxford, England",Fiction (Novel),978-0-435-98944-6,269,1996,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175620271l/536497.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
2001,"Anthony, Michael",High Tide of Intrigue,,English,Trinidad & Tobago,,Heinemann,Oxford,England,"Oxford, England",Fiction (Novel),978-0-435-98956-9,252,2001,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433879010i/15312371._UY475_SS475_.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
2007,"Anthony, Michael",The Chieftain's Carnival and Other Stories,,English,Trinidad & Tobago,,Ian Randle Publishers,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Short Story Collection),978-0582218055,189,2007,English,,,,https://pictures.abebooks.com/isbn/9780582218055-us.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
2007,"Anthony, Michael",Bright Road to El Dorado,,English,Trinidad & Tobago,,Ian Randle Publishers,Kingston,Jamaica,"Kingston, Jamaica",Fiction (Novel),978-9766372873,139,2007,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374000058l/5811993.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
2014,"Anthony, Michael",Green Days by the River,,English,Trinidad & Tobago,,Heinemann,Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago",Fiction (Novel),978-976-8068-10-1,214,2014,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506537689l/36314462._SX318_.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
1967,"Anthony, Michael",Green Days by the River,,English,Trinidad & Tobago,,Heinemann,London,England,"London, England",Fiction (Novel),978-0-233-95912-2,191,1967,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387662963l/676697.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
1963,"Anthony, Michael",Games Were Coming,,English,Trinidad & Tobago,,Heinemann,London,England,"London, England",Fiction (Novel),978-9766372422,182,1963,,,,,https://kbimages1-a.akamaihd.net/19b50a17-8083-4caf-b5d8-1c7c3cc095e1/1200/1200/False/the-games-were-coming.jpg,https://en.wikipedia.org/wiki/Michael_Anthony_(author)
1968,"Antoine, Max A",Louis Etienne Lysius Félicité Salomon Jeune,,French,Haiti,,Impr. H. Deschamps,Port-au- Prince,Haiti,"Port-au- Prince, Haiti",Nonfiction Book,,222,1968,,,,,NA,NA
1992,"Antoni, Robert",Divina Trace,,English,United States,Trinidad &Tobago,The Overlook Press,"Woodstock, NY",United States,"Woodstock, NY, United States",Fiction (Novel),978-0-87951-445-7,436,1992,,,,,https://images-na.ssl-images-amazon.com/images/I/81S8S+qcvyL.jpg,https://en.wikipedia.org/wiki/Divina_Trace
1993,"Antoni, Robert",Divina Trace,,English,United States,,The Overlook Press,"Woodstock, NY",United States,"Woodstock, NY, United States",Fiction (Novel),978-0-87951-445-8,418,1993,,,,,https://images-na.ssl-images-amazon.com/images/I/81S8S+qcvyL.jpg,https://en.wikipedia.org/wiki/Divina_Trace
2013,"Antoni, Robert",As Flies to Whatless Boys,,English,United States,,Akashic Books,"Brooklyn, NY",United States,"Brooklyn, NY, United States",Fiction (Novel),9781845232962,340,2013,,,,,https://www.peepaltreepress.com/sites/default/files/styles/book_cover_large/public/9781845232962.jpg,https://en.wikipedia.org/wiki/Robert_Antoni
2002,"Antoni, Robert",Los Cuentos Eróticos de Mi Abuela,,Spanish,United States,,Editorial Anagrama,Barcelona,Spain,"Barcelona, Spain",Fiction (Novel),978-84-339-6979-8,244,2002,,,,,https://www.anagrama-ed.es/uploads/media/portadas/0001/18/thumb_17887_portadas_big.jpeg,https://en.wikipedia.org/wiki/Robert_Antoni
2008,"Antoni, Robert; Nunez, Elizabeth; Kempadoo, Oonya; Espinet, Ramabai; Mootoo, Shani; Scott, Lawrence",Trinidad Noir,,English,United States,,Akashic Books,"Brooklyn, NY",United States,"Brooklyn, NY, United States",Anthology,978-1933354552,300,2008,,,,,https://m.media-amazon.com/images/I/41QxGYB4etS.jpg,https://en.wikipedia.org/wiki/Robert_Antoni; https://en.wikipedia.org/wiki/Elizabeth_Nunez; https://en.wikipedia.org/wiki/Oonya_Kempadoo; https://en.wikipedia.org/wiki/Ramabai_Espinet
2001,"Applin, Barbara",The Island-Hopping Game,,English,United States,,Macmillan Publishers,London,England,"London, England",Fiction (Novel),978-0-333-92089-3,23,2001,,,,,"https://images-na.ssl-images-amazon.com/images/I/51PUSTR388L._SX327_BO1,204,203,200_.jpg",NA
2014,"Archer, Petreine",About Face,,English,England,,UNESCO,Paris,France,"Paris, France",Nonfiction Book,NA,720,2014,,,,,https://exhibits.uflib.ufl.edu/aboutface/images/header7.png,https://en.wikipedia.org/wiki/Petrine_Archer-Straw
2001,"Arenas, Reinaldo",Before Night Falls,,English,Cuba,,InsightOut Books,"New York, NY",United States,"New York, NY, United States",Autobiography/Memoir,978-4-336-03779-4,317,1992,Spanish,Antes que anochezca,Tusquets,"AndoÌ, Tetsuyuki","https://images-na.ssl-images-amazon.com/images/I/51HokzxcKCL._SX324_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Before_Night_Falls
2002,"Arenas, Reinaldo",Singing from the Well,,English,Cuba,,Tusquets Editores S.A.,Tokyo,Japan,"Tokyo, Japan",Fiction (Novel),978-4-336-04030-5,195,1967,Spanish,Celestino before dawn,Uneac,"AndoÌ, Tetsuyuki",https://images-na.ssl-images-amazon.com/images/I/91hG-IN1NIL.jpg,https://en.wikipedia.org/wiki/Reinaldo_Arenas
2013,"Arenas, Reinaldo",Otra Vez el Mar,,Spanish,Cuba,,Tusquets Editores S.A.,Barcelona,Spain,"Barcelona, Spain",Fiction (Novel),978-987-670-288-1,480,2013,,,,,"https://images-na.ssl-images-amazon.com/images/I/31G2XmCs9OL._BO1,204,203,200_QL40_FMwebp_.jpg",https://en.wikipedia.org/wiki/Reinaldo_Arenas
1986,"Arenas, Reinaldo",Farewell to the Sea: A Novel of Cuba,,English,Cuba,,Viking Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-14-006636-4,413,1982,Spanish,Otra vez el mar,Argos Vergara,"Hurley, Andrew","https://images-na.ssl-images-amazon.com/images/I/51SCTcOx5jL._SX325_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Farewell_to_the_Sea
1985,"Arenas, Reinaldo",Farewell to the Sea: A Novel of Cuba,,English,Cuba,,Viking Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-670-52960-5,413,1982,Spanish,Otra vez el mar,Argos Vergara,"Hurley, Andrew","https://images-na.ssl-images-amazon.com/images/I/51SCTcOx5jL._SX325_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Farewell_to_the_Sea
1987,"Arenas, Reinaldo",The Doorman,,English,Cuba,,Grove Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-8021-1109-8,191,1987,English,The Doorman,Grove Press,"Koch, Dolores M.","https://images-na.ssl-images-amazon.com/images/I/51EeS9xHMKL._SX338_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Reinaldo_Arenas
1987,"Arenas, Reinaldo",Hallucinations: Being an Account of the Life and Adventures of Fray Servando,,English,Cuba,,Avon Books,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-380-75074-0,246,1969,Spanish,El mundo alucinante : (una novela de aventuras),Diógenes,"Hurley, Andrew",https://pictures.abebooks.com/isbn/9780224005081-us.jpg,https://en.wikipedia.org/wiki/Reinaldo_Arenas
1987,"Arenas, Reinaldo",Graveyard of the Angels,,English,Cuba,,Avon Books,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-380-75075-7,121,1987,English,Graveyard of the Angels,Avon books,"MacAdam, Alfred J.","https://images-na.ssl-images-amazon.com/images/I/510fsjkHFWL._SX373_BO1,204,203,200_.jpg",https://en.wikipedia.org/wiki/Reinaldo_Arenas
1994,"Arenas, Reinaldo",The Assault,,English,Cuba,,Viking Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-670-84066-3,145,1994,Spanish,El asalto,Universal,"Hurley, Andrew","https://images-na.ssl-images-amazon.com/images/I/51GAWAJgPnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://en.wikipedia.org/wiki/Reinaldo_Arenas
1990,"Arenas, Reinaldo",El Portero,,English,Cuba,,Ediciones Universal,"Miami, FL",United States,"Miami, FL, United States",Fiction (Novel),978-0-89729-560-4,158,1987,,,,,https://www.planetadelibros.com/usuaris/libros/fotos/89/m_libros/el-portero_9788483102572.jpg,https://en.wikipedia.org/wiki/Reinaldo_Arenas
1994,"Arenas, Reinaldo",Before Night Falls,,English,Cuba,,Penguin Books,Westminster,England,"Westminster, England",Autobiography/Memoir,978-0-14-015765-9,317,1992,Spanish,Antes que anochezca,Tusquets,"Koch, Dolores M.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348788765l/33833.jpg,https://en.wikipedia.org/wiki/Before_Night_Falls
1994,"Arenas, Reinaldo",The Doorman,,English,Cuba,,Grove Press,"New York, NY",United States,"New York, NY, United States",Fiction (Novel),978-0-8021-3405-9,204,1987,English,The Doorman,Grove Press,"Koch, Dolores M.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348099513l/378650.jpg,https://en.wikipedia.org/wiki/Reinaldo_Arenas
