authorid,Author,Title,Summary,summary_credit,bookImgId,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Sub_Genre,Translation,Buy_Link,Read_Link,Listen_Link,Length,lon,lat,PublisherList
alowe,Adam Lowe,Precocious,N/A,,alowe12,2012,English,Dog Horn Publishing,,,,Poetry Collection,,n,https://www.amazon.com/Precocious-Fruit-Bruise-Press-Adam/dp/190713333X?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Akashi Shoten
alowe,Adam Lowe,Spoke: New Queer Voices,"SPOKE: New Queer Voices brings together some of the very best young writers working today. United yet multiple, together but disparate, the writers herein encompass a range of genres and styles. Inside you'll find essays, poems, plays, a song, a map and a comic. Themes include love, dance, drag, social justice, family and social media. SPOKE puts the words and voices of a new generation of LGBT writers alongside each other to create a dialogue and to capture a turning point. Collected here are many of the best entries to the Young Enigma Awards along with a selection of specially commissioned writers.",,alowe15,2015,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Spoke-Queer-Voices-Fruit-Bruise/dp/1907133801,#,#,,28.3988,-78.8515,Akashic Books
alowe,Adam Lowe,Troglodyte Rose,N/A,,alowe7,2009,English,Cadaverine Magazine,,,,Fiction (Novel),,n,https://www.amazon.com/Troglodyte-Rose-Adam-Lowe/dp/0956257720?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,#,#,,28.3988,-78.8515,Albert Gomez
alowe,Adam Lowe,"Bite Me, Robot Boy","Bite Me, Robot Boy is a seminal new anthology of poetry and fiction that showcases what Dog Horn Publishing does best: writing that takes risks, crosses boundaries and challenges expectations. From Oz Hardwick's hard-hitting experimental poetry, to Robert Lamb's colourful pulpy science fiction, this is an anthology of incandescent writing from some of the world's best emerging talent.",,alowe13,2012,English,Dog Horn Publishing,,,,Anthology,,n,https://www.amazon.com/Bite-Robot-Boy-Adam-Lowe-ebook/dp/B0DFZ3GN35?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,https://www.amazon.com/Bite-Robot-Boy-Adam-Lowe-ebook/dp/B0DFZ3GN35?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR&asin=B0DFZ3GN35&revisionId=dc5eb471&format=3&depth=1,#,,28.3988,-78.8515,Alejandro Pueyo
alowe,Adam Lowe,Lavenderblack,"In this debut collection by the acclaimed author of Troglodyte Rose, Adam Lowe investigates the two dualities of his unique perspective: being queer and being black. He examines slavery, prejudice, pride, sex, friendship, love and domestic violence with panache, wit and feeling.",,alowe11,2011,English,Dog Horn Publishing,,,,Poetry Collection,,n,https://www.amazon.com/lavenderblack-Fruit-Bruise-Press-Adam/dp/1907133100?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR,https://www.amazon.com/lavenderblack-Fruit-Bruise-Press-Adam/dp/1907133100?ref_=ast_author_dp&dib=eyJ2IjoiMSJ9.dXEEjqosaEDLVlhjQd80H7RBRhOU9zOg-otbZfkowPQ-IwEAoa2LGWRteZGZjctc6ibgF7yoYocwpIhjjCdcEuGMLPAy3dCBxh1Eood1wGssCVfwCTyD1B6YWWCCxeYxCdUki0dXdjc6slGkKukU-tC5n0SOFIoKnuXkWNlzqgizFWB7Q0Rnw-FmWQD3Fj5gB8L5wBm3ANDQM69DtysmgNQtTqTEmnQmh1wHFrQzv-g.mK8YkNAuHMF2waHzCC42Au8cNn8jdXx1hGgX67LDG9c&dib_tag=AUTHOR&asin=1907133100&revisionId=&format=4&depth=1,#,,28.3988,-78.8515,Alexander Street Press
aandwele,Adisa Andwele,Painting Poetry: Poetic Interpretations of Art.,"Painting Poetry is an anthology of poetic interpretations of art presenting thirty poems written by Adisa AJA Andwele and images of paintings by seventeen artists.

The artists are Ras Akyem, Ras Ishi, Ras Jahaziel, Omowale Stewart, Corrie Scott, Heather-Dawn Scott, Pierre Nigel and Jadisa Andwele from Barbados; the late Andre Normil and Frantz Zephirin from Haiti; the late Romare Bearden, Alaiyo Bradshaw and Chrissie Dowler from the USA; and from Cuba, the late Wifredo Lam, Omar Estrada, Annie Maxwell and Jesus Gastell Soto.

The poetry and paintings cover themes related to the Caribbeans multicultural history, including the survival of African cultureits social, cultural, and religious practices in the Americas as well as nature, abstract forms, and social interactions within urban landscape.",,aandwele5,2015,English,Xlibris,"Bloomington, IN",United States,bloomington_united¬†states,Poetry Collection,,n,https://www.amazon.com/Painting-Poetry-Poetic-Interpretations-Art-ebook/dp/B0794XRLPD,#,#,74,-86.5757,39.1516,Alfred A. Knopf
aandwele,Adisa Andwele,Rhythm an' Roots: A Collection Of Poems,A collection of poems by Adisa Andwele,,aandwele1,1990,English,Peepal Tree Press,Leeds,England,leeds_england,Poetry Collection,,n,https://www.abebooks.com/signed-first-edition/Rhythm-Roots-Richards-Mike-Adisa-Andwele/31352346495/bd,#,#,73,-1.5694,53.8062,Alianza Editorial
aandwele,Adisa Andwele,Antiquity,"Antiquity has two sections: 'Words', which brings together poems written over the past twenty years, and 'Chants', which includes the songs AJA has been performing to enthusiastic audiences across the Caribbean, North America, Europe and South Africa. These are poems and songs of a radical Black consciousness, Barbadian to the core, but reaching out to chant down injustice and economic oppression wherever they exist.",,aandwele3,2002,English,Peepal Tree Press,Leeds,England,leeds_england,Poem,,n,https://www.barnesandnoble.com/w/antiquity-adisa-andwele/1005331516,#,#,91,-1.5694,53.8062,Allen & Unwin
aandwele,Adisa Andwele,Crop Over,N/A,,aandwele4,2003,English,WOW Caribbean,St. Michael,Barbados,st._michael_barbados,Poem,,n,#,#,#,40,28.3988,-78.8515,Allikaäärne
aandwele,Adisa Andwele,Black Distant Voice: A Collection of Poems,A collection of poems by Adisa Andwele,,aandwele2,1992,English,Black Moss press,Windsor,Canada,windsor_canada,Poetry Collection,,n,https://www.abebooks.fr/edition-originale/Black-distant-voice-Andwele-Adisa-Barbados/30296518969/bd,#,#,21,28.3988,-78.8515,Altromondo
atous,Adriana Tous,La Poesia De Nicolas Guillen,N/A,,atous1,1971,Spanish,Ediciones Cultura Hispanica,Madrid,Spain,madrid_spain,Poetry Collection,,n,#,#,#,159,28.3988,-78.8515,Alvin Cummins
acesaire,Aimé Césaire,Collected Poetry,N/A,,acesaire15,1983,French,University of California Press,"Oakland, CA",United States,oakland_ca_united¬†states,Poetry Collection,,y,#,#,#,432,-122.2713,37.8022,Amber Lane Press
acesaire,Aimé Césaire,Non-Vicious Circle: Twenty Poems Of Aimé Césaire,"The twenty poems in this book, presented in French with facing English translations, have been chosen to illustrate fundamental aspects of Cesaire's thought, imagery, and style as these crystallized into a single, coherent system in the late 1940's and the 1950's. The work aims to assist both nonspecialist reader and scholar to a deeper comprehension of the poems and their formidable linguistic difficulties.",,acesaire16,1984,English,Stanford University Press,"Stanford, CA",United States,stanford_ca_united¬†states,Poetry Collection,,y,#,#,#,152,-122.2037,37.4849,American Heritage Pub. Co
acesaire,Aimé Césaire,Some African Poems,Some of Aimé Césaire's poetry translated in English,,acesaire13,1981,English,Munger Africana Library,"Pasadena, CA",United States,pasadena_ca_united¬†states,Poem,,y,#,#,#,19,-118.125,34.1342,Anagrammes
acesaire,Aimé Césaire,Journal of a Homecoming,A book-length poem that blends poetry and prose to express his thoughts on the cultural identity of black Africans in a colonial context.,,acesaire21,2017,English,Duke University Press Books,"Durham, NC",England,durham_nc_england,Poetry Collection,,y,#,#,#,328,-78.9101,36.0002,Anisah Sankar
acesaire,Aimé Césaire,"Lyric and Dramatic Poetry, 1946-82","This collection, the only one in existence in any language to give a truly comprehensive retrospective of Cesaire's poetic production, demonstrates the narrowness of earlier readings that grew out of the climate of Black Power influenced by the essays of Frantz Fanon, another Martinican, who was largely responsible for the ambient view of Csaire a generation ago.",,acesaire19,1990,English,University of Virginia Press,"Charlottesville, VA",United States,charlottesville_va_united¬†states,Poetry Collection,,y,#,#,#,235,-78.5067445,38.03937113,Anthony Kellman
acesaire,Aimé Césaire,Discourse on Colonialism,"In his 1950 essay Discourse on Colonialism, the intellectual and politician Aimé Césaire makes a powerful accusation against “the so-called European [or ‘Western’] civilization” that reigns supreme in the contemporary world. This civilization, Césaire argues, is “indefensible” and must be overthrown by a popular revolution of the global proletariat (or working classes).",,acesaire3,1950,English,Monthly Review Press,"New York, NY",United States,new_york_ny_united¬†states,Poetry Collection,,n,#,#,#,96,-73.9917,40.7472,API for the National Heritage Week
acesaire,Aimé Césaire,Notebook of a Return to the Native Land,A book-length poem that blends poetry and prose to express his thoughts on the cultural identity of black Africans in a colonial context.,,acesaire20,2013,English,Wesleyan University Press,"Middletown, CT",United States,middletown_ct_united¬†states,Poem,,y,#,https://www.google.com.jm/books/edition/Notebook_of_a_Return_to_the_Native_Land/JzFt9S2RBakC?hl=en&gbpv=1,#,73,-72.6667,41.5455,Arise Publishing
acesaire,Aimé Césaire,Lettre a Maurice Thorez,"Lettre du poète et homme politique martiniquais Aimé Césaire à Maurice Thorez, secrétaire général du Parti communiste français. Césaire y annonce sa démission du parti, invoquant les crimes de Staline et le traitement réservé aux personnes non blanches. La lettre est datée du 24 octobre 1956, un jour après le début de l'insurrection hongroise contre l'Union soviétique et huit mois après le « discours secret » de Nikita Khrouchtchev documentant les crimes de Staline.",,acesaire5,1956,French,Parti Progressiste Martiniquais,Fort-de-France,Martinique,fort_de_france_martinique,Nonfiction,,n,#,#,#,60,-61.06937628,14.61109614,Arno Press
acesaire,Aimé Césaire,Guide du Militant,N/A,,acesaire23,NA,French,Parti Progressiste Martiniquais,Fort-de-France,Martinique,fort_de_france_martinique,Nonfiction,,n,#,#,#,88,-61.06937628,14.61109614,Arnold & Frampton
acesaire,Aimé Césaire,Discours sur le Colonialisme,"Dans son essai de 1950, Discours sur le colonialisme, l'intellectuel et homme politique Aimé Césaire lance une accusation virulente contre « la prétendue civilisation européenne [ou “occidentale”] » qui règne en maître dans le monde contemporain. Cette civilisation, affirme Césaire, est « indéfendable » et doit être renversée par une révolution populaire du prolétariat mondial (ou des classes ouvrières).",,acesaire4,1950,French,Présence Africaine,Paris,France,paris_fr_france,Poetry Collection,,n,#,#,#,NA,2.348296082,48.84859717,Arnoldo Mondadori Editore
acesaire,Aimé Césaire,Premiers Jalons Pour une Politique de la Culture,N/A,,acesaire22,NA,French,Présence Africaine,Paris,France,paris_fr_france,Nonfiction,,n,#,#,#,42,2.348296082,48.84859717,Art Institute of Chicago
acesaire,Aimé Césaire,Et les Chiens Se Taisaient: Tragédie : Arrangement Théâtral,N/A,,acesaire6,1958,French,Présence Africaine,Paris,France,paris_france,Drama,,n,#,#,#,122,2.348296082,48.84859717,"Arts Council of Dominica, Writers Workshop"
acesaire,Aimé Césaire,Toussaint Louverture: La Révolution Française et le Problème Colonial,N/A,,acesaire7,1960,French,Présence Africaine,Paris,France,paris_france,Nonfiction,,n,#,#,#,311,2.348296082,48.84859717,Awarak Publications
acesaire,Aimé Césaire,La Tragédie Du Roi Christophe,"Situé dans la période de bouleversements qui a suivi l'assassinat de Jean-Jacques Dessalines en 1806, le roman suit le personnage historique d'Henri Christophe, un esclave devenu général dans l'armée de Toussaint Louverture. Christophe s'est autoproclamé roi en 1811 et a régné sur le nord d'Haïti jusqu'en 1820. Césaire utilise une intrigue shakespearienne et exploite les possibilités inépuisables du langage pour transmettre la tragédie de la transformation de Christophe, d'un leader charismatique, sensible à l'oppression de son peuple, à un oppresseur lui-même.",,acesaire10,1963,French,Présence Africaine,Paris,France,paris_france,Drama,,n,#,#,#,153,2.348296082,48.84859717,Ballantine Books
acesaire,Aimé Césaire,Cahier d'un Retour au Pays Natal,Un poème de la longueur d'un livre qui mélange poésie et prose pour exprimer ses pensées sur l'identité culturelle des Africains noirs dans un contexte colonial.,,acesaire1,1939,French,Présence Africaine,Paris,France,paris_fr_france,Poetry Collection,,n,#,#,#,93,2.348296082,48.84859717,Balzer + Bray
acesaire,Aimé Césaire,Ferrements,"Ce volume se compose du recueil Ferrements (1960) et d'un ensemble parcourant un demi-siècle de poésie. On y retrouve toute la force de la "" parole essentielle "" de Césaire : une poésie où le lyrisme vient conjurer l'informe, où l'imaginaire des Antilles, la sensualité des images, la flambée des mots rebelles éclairent les rêves et les angoisses d'un nouveau monde à forger.",,acesaire8,1960,French,Éditions du Seuil,Paris,France,paris_fr_france,Poetry Collection,,n,#,#,#,92,2.3756,48.8964,Bantam Books
acesaire,Aimé Césaire,Une Saison Au Congo,"Le temps de l'indépendance du Congo est arrivé. Patrice Lumumba, homme politique et poète visionnaire, va tenter de rendre à son peuple une liberté depuis longtemps perdue. Mais la jalousie, la corruption et la quête du pouvoir sont des murailles difficiles à franchir. À travers le destin d'un homme, c'est toute l'histoire d'un continent qui se joue de manière exemplaire et symbolique dans cette tragédie politique.",,acesaire11,1966,French,Éditions du Seuil,Paris,France,paris_france,Drama,Play,n,#,#,#,116,2.3756,48.8964,Bantam Spectra
acesaire,Aimé Césaire,"Moi, Laminaire",N/A,,acesaire14,1982,French,Éditions du Seuil,Paris,France,paris_fr_france,Poetry Collection,,n,#,#,#,94,2.3756,48.8964,Benemérita Universidad Autónoma de Puebla
acesaire,Aimé Césaire,Cadastre,N/A,,acesaire9,1961,French,Éditions du Seuil,Paris,France,paris_fr_france,Poetry Collection,,n,#,#,#,94,2.3756,48.8964,Berkley Hardcover
acesaire,Aimé Césaire,Une Tempête,"Une adaptation de La Tempête de Shakespeare dans une perspective postcoloniale, se déroulant sur une île des Caraïbes.",,acesaire12,1969,French,Éditions du Seuil,Paris,France,paris_france,Drama,Play,n,#,#,#,91,2.3756,48.8964,Black Coral Publishing
acesaire,Aimé Césaire,Gedichte,Einige Gedichte von Aimé Césaire wurden ins Deutsche übersetzt,,acesaire18,1987,German,München Wien Hanser,Munich,Germany,munich_germany,Poetry Collection,,y,#,#,#,102,11.6079,48.1535,Black Moss Press
acesaire,Aimé Césaire,A Tempest,"An adaptation of Shakespeare's The Tempest from a postcolonial perspective, set on a Caribbean island.",,acesaire17,1986,English,Ubu Repertory Theater Publications,"New York, NY",United States,new_york_ny_canada,Drama,,y,#,#,#,75,28.3988,-78.8515,Bobbs-Merrill
acesaire,Aimé Césaire,Les Armes Miraculeuses,Les Armes miraculeuses est un recueil de poèmes d'Aimé Césaire paru en 1946 aux éditions Gallimard et comprenant la plupart des poèmes publiés par Césaire entre 1941 et 1945 dans la revue Tropiques.,,acesaire2,1946,French,Gallimard,Paris,France,paris_france,Poetry Collection,,n,#,#,#,155,28.3988,-78.8515,Bogle-L'Ouverture Publications
arsantos,Alaí Reyes-Santos,Our Caribbean Kin: Race And Nation In The Neoliberal Antilles,"Beset by the forces of European colonialism, US imperialism, and neoliberalism, the people of the Antilles have had good reasons to band together politically and economically, yet not all Dominicans, Haitians, and Puerto Ricans have heeded the calls for collective action. So what has determined whether Antillean solidarity movements fail or succeed? In this comprehensive new study, Alaí Reyes-Santos argues that the crucial factor has been the extent to which Dominicans, Haitians, and Puerto Ricans imagine each other as kin. 


Our Caribbean Kin considers three key moments in the region’s history: the nineteenth century, when the antillanismo movement sought to throw off the yoke of colonial occupation; the 1930s, at the height of the region’s struggles with US imperialism; and the past thirty years, as neoliberal economic and social policies have encroached upon the islands. At each moment, the book demonstrates, specific tropes of brotherhood, marriage, and lineage have been mobilized to construct political kinship among Antilleans, while racist and xenophobic discourses have made it difficult for them to imagine themselves as part of one big family. 

 

Recognizing the wide array of contexts in which Antilleans learn to affirm or deny kinship, Reyes-Santos draws from a vast archive of media, including everything from canonical novels to political tracts, historical newspapers to online forums, sociological texts to local jokes. Along the way, she uncovers the conflicts, secrets, and internal hierarchies that characterize kin relations among Antilleans, but she also discovers how they have used notions of kinship to create cohesion across differences.",,arsantos1,2015,English,Rutgers University Press,"New Brunswick, NJ",United States,new_brunswick_nj_united¬†states,Nonfiction,,y,https://www.amazon.com/Our-Caribbean-Kin-Neoliberal-Antilles/dp/0813571995,https://www.google.com/books/edition/Our_Caribbean_Kin/yAtmCgAAQBAJ?hl=en&gbpv=1&pg=PT7&printsec=frontcover,#,244,-74.4472,40.4975,Bokeh
amgomes,Albert Maria Gomes,The Beacon,N/A,,amgomes1,1931,English,Albert Gomez,Port of Spain,Trinidad & Tobago,port_of_spain_trinidad_&_tobago,Fiction (Novel),,n,#,#,#,,28.3988,-78.8515,Brenda Alexander-Perez
